GII Mnemonic,EM15@NYCI.M,EM30@NYCI.M,EM40@NYCI.M,EM50@NYCI.M,EM55@NYCI.M,EM60@NYCI.M,EM65@NYCI.M,EM70@NYCI.M,EM80@NYCI.M,EM90@NYCI.M
1/1/1990,114.1,260.7,608.1,167.5,526,469.8,466.8,213.8,123.8,601.2
2/1/1990,114,266.2,601.5,168.3,525.3,469.9,473.5,213.7,124.2,602.9
3/1/1990,116.2,270.9,603.1,167.5,524.8,471.8,477.8,217.6,124.9,610.3
4/1/1990,114.4,267.1,596.8,168.4,521.8,471.8,477.2,220.4,124.8,611.8
5/1/1990,115.6,270.5,601.6,170.7,521.7,470.6,477.8,222.6,125.9,620.6
6/1/1990,116.3,272.9,603.7,169.6,524.7,473.8,474.3,223.4,126.8,616.4
7/1/1990,114.5,262.8,593.6,170.3,523.5,467.9,463.9,216.3,124.3,608.2
8/1/1990,115.5,268.5,594.2,171,523.8,468,463.1,216.4,124.3,605.4
9/1/1990,115.8,269.8,599.5,170.6,520.3,464.7,472.6,219.4,124.4,595.5
10/1/1990,113.7,263.8,597.3,168.9,515,458.1,478.4,215.2,124.3,601.6
11/1/1990,112.7,258.8,601.2,167.5,514,458.1,484,217.8,124.7,605.7
12/1/1990,110.2,250.5,607.3,169.5,515.4,459.9,486,220.2,125.3,605
1/1/1991,98.6,229.7,568.6,158.8,499.6,438.6,477.4,198.6,119.7,596.5
2/1/1991,97.4,235.4,559.5,159.3,497.7,437.7,482.9,197.6,119.7,596.8
3/1/1991,98.2,239.7,557.9,162.4,498.1,438.5,487.7,199.2,120.7,601.6
4/1/1991,98.5,238,557.7,160.6,494.8,431.6,486.9,200.6,120.2,602.2
5/1/1991,98.8,239.1,559,162.1,494.1,429.3,486.7,200.5,120.9,602.6
6/1/1991,100.2,242.4,562.6,163.5,496.4,430.6,483,205,121,597.7
7/1/1991,98.9,233.5,548.7,157.3,494.6,423.7,475.1,198,117.2,589.3
8/1/1991,98.8,240.6,548.6,158.2,494,419.8,473.6,196,116.2,586.1
9/1/1991,99.2,243,553.9,156.8,491.4,420.3,482.8,199.3,117.6,574
10/1/1991,97.5,241.9,555.5,158.9,486.4,418.9,491.3,201.2,117.6,584.5
11/1/1991,96.8,238.8,562.1,158.9,487.4,420.1,494.9,202.8,118.4,587.4
12/1/1991,95.3,230.8,560.9,161.4,490.3,422,496.7,204.2,119.5,585.8
1/1/1992,86.9,215.3,541.4,152.7,471,414.1,490.3,186.9,117.5,580.2
2/1/1992,85.5,220.3,533.5,151.3,470.6,413.4,496.1,187.3,117.3,580.4
3/1/1992,85.6,224.6,534.1,154.9,471.2,415.7,499.6,189.5,118.1,586
4/1/1992,85.4,227,532.4,151.3,470.9,417.2,502,194.8,118.6,586.9
5/1/1992,86,228.6,533.6,151.7,471.6,416,501.1,195.6,119.2,586.2
6/1/1992,86.7,230.1,535.5,151.3,474.6,418.1,498.6,197.6,119.3,581.8
7/1/1992,86.5,223.7,524.5,152.1,473.9,416.3,488.6,193.8,117.1,597.3
8/1/1992,86.5,228,522.3,152.1,473.6,413.4,486.7,190,116,594.3
9/1/1992,86.7,231.8,527.5,155.7,471.5,411.4,497.4,193.9,116.7,568.8
10/1/1992,85.6,229.2,533.9,152.6,469.2,416,504.7,194.5,119.1,578
11/1/1992,85.4,227.2,536.8,153.2,468.4,415.4,508.3,196.7,119,583.5
12/1/1992,84.8,220.5,545.8,153.5,471.4,420.2,511.9,198.4,120.3,585
1/1/1993,78.6,207.6,522.7,147.4,462.6,413.7,506.5,186.1,117.7,578.5
2/1/1993,78.3,213.9,519.3,147.8,464.3,416.9,509.9,188.5,118.1,581.3
3/1/1993,79.7,218.3,519.7,150.2,464.4,420.5,515.8,187.3,119.1,585.9
4/1/1993,82.9,219.6,522.5,150.8,458.8,427.5,514.9,193.1,120.9,584.3
5/1/1993,84.4,223.5,524.7,151,460.4,423.3,514.7,196.9,121.6,583.2
6/1/1993,86.1,225.4,527.2,153.3,463.8,428.7,510.5,197.5,121.2,581.7
7/1/1993,86.1,218,520.9,153.2,464.8,427.4,502.3,191.6,118.9,621.6
8/1/1993,87.2,222.3,520.5,154,466.9,425.7,500.3,192.6,117.9,598.5
9/1/1993,89.5,225.8,523.9,154.7,465.6,427,509.4,196.8,118.8,573.1
10/1/1993,88.6,222.8,533.2,152.2,466.9,428,524.1,198,120.5,579.2
11/1/1993,88.6,220.3,539.2,152.5,468.6,429.5,529.3,200.5,120.9,586.4
12/1/1993,88.6,213.5,547.6,155,471.6,433.8,532.3,202.9,121.7,590.5
1/1/1994,79.1,199.1,519.1,148.3,465.3,426.2,521.2,191.9,118.2,584.2
2/1/1994,78.8,204.8,514.6,149.2,466.7,429.8,528,191.6,118.9,585.4
3/1/1994,82,210,517.2,152.4,468.3,434.8,533.8,194.6,119.7,588.9
4/1/1994,86.1,212.2,518.3,151,469.6,432.6,535.1,200.8,121,587.2
5/1/1994,87.7,214.2,520.4,152,469.7,433.3,535.3,203.3,121.5,585.7
6/1/1994,89.1,216.3,523.8,154.3,475.2,436.9,532.3,206.4,122.4,576.3
7/1/1994,90.8,210.4,517.9,151.5,476,439,522.7,199.9,120.5,587.6
8/1/1994,93.1,216.6,518.7,152.8,477.1,439.6,521.1,197.1,119.6,575
9/1/1994,93.9,218.7,526.1,153,475.9,438.2,532.9,202,120.3,544.8
10/1/1994,92.4,216.2,530.3,153.3,470.5,442.9,544.5,204,121.3,571.4
11/1/1994,92.5,214.2,539.5,155,472.1,445.8,549.4,207.4,122.1,573.1
12/1/1994,91.6,208.8,548.4,155.9,475.2,448.1,554.2,210.1,122.6,572.4
1/1/1995,84.8,196.9,527.5,149.4,466.3,434.2,542.6,197.1,120.1,562.1
2/1/1995,84.2,203.7,523.4,150.3,467.8,437.2,548.6,198.6,120.8,560.6
3/1/1995,86.7,207.6,525.9,152,468.2,440.6,554.4,202,122,562.3
4/1/1995,88.8,208.2,524.5,151.6,465.3,442.1,553,207.6,122.6,562.7
5/1/1995,89.7,209.4,528,154.5,465.2,444.1,552.6,210.1,123.4,561.2
6/1/1995,90.5,211.5,532,154.5,469.1,449.3,547.6,212.2,123.4,558.6
7/1/1995,90.2,206,521.7,153.9,468.4,445.1,536.2,206.6,121.4,583.7
8/1/1995,92.1,211.6,523.1,155.7,468.3,446.4,533.6,206,121,570.5
9/1/1995,93.5,214.5,533.7,156.2,468.1,445.6,544.5,210.9,122.2,536.1
10/1/1995,92.9,210.7,537.6,156.9,465.6,450.2,557.3,212.2,123.5,547.4
11/1/1995,93,209.2,546.8,159,466,452,561,218.3,124.7,553.3
12/1/1995,91.7,203.9,554.1,159,468.6,456.9,563.2,220,125.5,555.1
1/1/1996,79.5,188.5,523.4,157.1,457.7,449.9,553.3,202.6,121.2,542.6
2/1/1996,82.4,195.6,521.8,157.4,461.9,459.1,565,205.4,123.1,543.6
3/1/1996,84.7,199.2,524.4,157.6,462.2,461.8,569.6,209,124.5,547.8
4/1/1996,88.1,197.1,522.8,157.1,460.4,464.4,569.9,215.2,124.8,547.6
5/1/1996,90.1,200.7,527.5,158,463,465.3,569.3,220.7,126.1,546.2
6/1/1996,92.7,203.4,531.8,159.3,468.1,471,563.5,220.2,126.3,544.8
7/1/1996,94,198.7,523.2,158.8,467.1,469.3,549.5,215,124.6,562.3
8/1/1996,95.7,204.6,523.2,160.7,468.3,470,545.2,215.4,124,551.1
9/1/1996,96.5,208.2,533.7,158.6,465.3,469.9,555.4,218.7,125.1,525.7
10/1/1996,96.8,205.9,539.5,159.2,462.7,475.9,574.9,223.4,126.9,538.5
11/1/1996,96.3,204,551.8,161.8,465.1,481.3,577.1,225.3,127.4,542.4
12/1/1996,94.2,199.5,560.4,161.6,468.7,486.8,576.3,227.9,128.6,548
1/1/1997,85.4,189.9,534.8,157.4,457.9,473.9,567.4,215.2,126.1,542.9
2/1/1997,85.8,195.1,528.4,158.9,459.6,479,575.1,217.6,126.6,540.3
3/1/1997,89.8,199.6,532.6,160.1,462.3,484.3,579.2,222,128.6,545.3
4/1/1997,90.8,200.5,530.7,156.9,461.9,488.3,580.2,225.5,128.9,545.5
5/1/1997,91.9,202.4,533.8,161.4,463,487.3,576.4,230.5,129.5,545.7
6/1/1997,93.6,203.6,537.9,162.9,469.7,494.2,571.2,231.7,130.1,543.4
7/1/1997,95.2,199,528.2,162.9,471.6,499.6,562.6,227.4,128.7,574.3
8/1/1997,97.5,203.5,523.3,165.2,473.9,500.5,557.3,226.1,127.8,564
